1649767860000,40522.18000000,40591.67000000,40522.17000000,40579.93000000,101.61904000,1649767919999,4121613.57331500,1551,70.82211000,2872268.73209550,0
1649767920000,40579.93000000,40640.06000000,40562.68000000,40625.15000000,82.33183000,1649767979999,3342771.79765970,1805,43.29722000,1757934.37278040,0
1649767980000,40625.15000000,40636.15000000,40590.00000000,40610.30000000,56.79831000,1649768039999,2306852.32557140,1336,21.92844000,890500.08319800,0
1649768040000,40610.29000000,40624.98000000,40552.66000000,40557.30000000,143.39344000,1649768099999,5820394.40488630,1816,64.40223000,2613874.23706350,0
1649768100000,40557.30000000,40596.35000000,40557.29000000,40581.32000000,54.96361000,1649768159999,2230388.37300350,1233,26.73246000,1084670.48728500,0
1649768160000,40581.33000000,40629.87000000,40577.79000000,40620.09000000,66.17154000,1649768219999,2685923.13711400,1046,30.41599000,1234624.66664280,0
1649768220000,40620.10000000,40620.10000000,40579.87000000,40585.82000000,81.10438000,1649768279999,3292480.19437840,1351,43.18957000,1753192.95800880,0
1649768280000,40585.82000000,40606.97000000,40585.81000000,40591.15000000,66.49671000,1649768339999,2699502.84467130,959,26.45648000,1073920.26866380,0
1649768340000,40591.15000000,40618.67000000,40588.36000000,40618.37000000,74.49001000,1649768399999,3024534.64841310,1142,46.30906000,1880175.34966350,0
1649768400000,40618.37000000,40627.21000000,40555.40000000,40556.30000000,63.48598000,1649768459999,2577191.50825620,1458,22.20849000,901673.13040960,0
1649768460000,40556.30000000,40571.16000000,40528.10000000,40571.16000000,75.49339000,1649768519999,3060949.61241920,1340,46.50563000,1885590.68209440,0
1649768520000,40571.16000000,40623.41000000,40571.15000000,40605.62000000,71.99355000,1649768579999,2922867.38614070,1325,31.20379000,1266603.89171560,0
1649768580000,40605.63000000,40627.48000000,40582.89000000,40590.39000000,26.71951000,1649768639999,1084960.90346380,925,15.84816000,643550.68727020,0
1649768640000,40590.40000000,40597.99000000,40571.88000000,40596.02000000,22.53035000,1649768699999,914379.47807750,845,9.60483000,389793.98299930,0
1649768700000,40596.03000000,40610.00000000,40560.02000000,40560.02000000,42.34018000,1649768759999,1718544.97783700,882,11.18365000,453913.96156140,0
1649768760000,40560.03000000,40566.89000000,40530.95000000,40542.90000000,44.50330000,1649768819999,1804583.81260660,1018,16.56051000,671461.37101970,0
1649768820000,40542.91000000,40542.91000000,40460.33000000,40461.58000000,74.28405000,1649768879999,3009038.45483030,1443,19.33548000,783237.55104910,0
1649768880000,40461.58000000,40501.62000000,40461.57000000,40480.07000000,47.14348000,1649768939999,1908456.57786360,1113,27.75570000,1123592.18954640,0
1649768940000,40480.08000000,40557.09000000,40470.64000000,40531.05000000,83.01955000,1649768999999,3364161.90619980,1330,55.37538000,2243692.02605670,0
1649769000000,40531.04000000,40531.05000000,40483.38000000,40486.84000000,26.37720000,1649769059999,1068485.75236990,912,12.48211000,505563.35569060,0
1649769060000,40486.84000000,40529.36000000,40466.25000000,40469.01000000,48.10347000,1649769119999,1948012.73861460,1222,18.32168000,741743.54416730,0
1649769120000,40469.01000000,40529.99000000,40450.77000000,40487.03000000,105.69000000,1649769179999,4280099.97680890,1559,50.38299000,2039913.23751350,0
1649769180000,40487.04000000,40499.99000000,40444.56000000,40454.76000000,71.09962000,1649769239999,2876803.76478530,1170,22.45357000,908508.18008870,0
1649769240000,40454.76000000,40538.90000000,40454.75000000,40506.74000000,73.62328000,1649769299999,2982476.90596520,1119,45.84878000,1857062.50211890,0
1649769300000,40506.74000000,40520.00000000,40461.00000000,40520.00000000,66.46679000,1649769359999,2691166.00357360,1086,26.85217000,1087061.53835330,0
1649769360000,40520.00000000,40575.92000000,40519.99000000,40528.15000000,58.76646000,1649769419999,2383090.69689100,1162,31.13988000,1262736.76967790,0
1649769420000,40528.15000000,40550.00000000,40528.15000000,40549.05000000,27.84647000,1649769479999,1128983.61500130,752,14.21686000,576367.64992480,0
1649769480000,40549.06000000,40568.20000000,40532.05000000,40568.20000000,24.20194000,1649769539999,981274.82690820,672,8.31453000,337105.16905430,0
1649769540000,40568.19000000,40568.20000000,40476.22000000,40487.42000000,81.46508000,1649769599999,3300081.71896730,1194,38.26453000,1549711.56413240,0
1649769600000,40487.42000000,40497.98000000,40439.09000000,40439.10000000,70.65610000,1649769659999,2859175.25363910,1289,29.18085000,1180905.75301680,0
1649769660000,40439.09000000,40494.84000000,40431.24000000,40467.17000000,80.09026000,1649769719999,3240415.04340400,1115,39.32612000,1591363.76152890,0
1649769720000,40467.17000000,40492.60000000,40460.56000000,40485.43000000,23.54415000,1649769779999,952911.90233990,615,7.71247000,312145.04583310,0
1649769780000,40485.43000000,40525.48000000,40482.39000000,40517.17000000,38.01503000,1649769839999,1539673.49576500,788,27.51094000,1114238.11338400,0
1649769840000,40517.17000000,40517.17000000,40495.15000000,40510.45000000,19.81226000,1649769899999,802500.44534900,664,10.25995000,415580.07090030,0
1649769900000,40510.46000000,40510.46000000,40489.00000000,40491.29000000,30.03370000,1649769959999,1216307.59895190,649,12.45464000,504365.32763800,0
1649769960000,40491.28000000,40510.45000000,40476.65000000,40481.81000000,29.67902000,1649770019999,1201763.80336620,675,16.64723000,674080.28327350,0
1649770020000,40481.81000000,40530.00000000,40481.81000000,40529.99000000,19.88521000,1649770079999,805224.80322060,678,14.58143000,590467.72579320,0
1649770080000,40530.00000000,40564.31000000,40517.23000000,40538.15000000,39.28002000,1649770139999,1592798.27838360,968,24.64164000,999309.43866880,0
1649770140000,40538.16000000,40538.16000000,40495.78000000,40536.92000000,36.08462000,1649770199999,1461997.45340590,905,19.10766000,774070.30157490,0
1649770200000,40536.93000000,40545.12000000,40462.16000000,40463.30000000,54.98460000,1649770259999,2226468.84953730,1191,31.68284000,1282999.01215680,0
1649770260000,40463.30000000,40506.58000000,40458.01000000,40458.02000000,47.29347000,1649770319999,1914019.31556070,1229,22.25110000,900472.10388820,0
1649770320000,40458.02000000,40489.23000000,40451.43000000,40454.63000000,87.11255000,1649770379999,3524828.30348090,1056,20.05200000,811377.18185160,0
1649770380000,40454.62000000,40461.68000000,40282.42000000,40314.75000000,236.15755000,1649770439999,9529278.22786710,3611,95.21177000,3841066.64633480,0
1649770440000,40314.75000000,40366.72000000,40250.00000000,40351.29000000,140.44171000,1649770499999,5659540.01651600,2007,80.67347000,3251227.23870170,0
1649770500000,40351.29000000,40373.02000000,40303.38000000,40321.19000000,80.29281000,1649770559999,3238515.27020060,1218,37.92616000,1529310.92489680,0
1649770560000,40321.39000000,40321.39000000,40250.01000000,40272.34000000,111.96211000,1649770619999,4509180.00360620,1532,59.52253000,2396761.24278320,0
